2025-04-15 13:33:41 - INFO - Loading file /home/yl3427/cylab/SOAP_MA/Output/SOAP/correction_all/3_problems_acute_kidney_injury_new_temp.json
2025-04-15 13:33:41 - INFO - Processing baseline queries for 420 items.
2025-04-15 13:33:41 - INFO - Processing item 0...
2025-04-15 13:33:41 - INFO - Processing item 1...
2025-04-15 13:33:41 - INFO - Processing item 2...
2025-04-15 13:33:41 - INFO - Processing item 3...
2025-04-15 13:33:41 - INFO - Processing item 4...
2025-04-15 13:33:41 - INFO - Processing item 5...
2025-04-15 13:33:41 - INFO - Processing item 6...
2025-04-15 13:33:41 - INFO - Processing item 7...
2025-04-15 13:33:41 - INFO - Processing item 8...
2025-04-15 13:33:41 - INFO - Processing item 9...
2025-04-15 13:33:41 - INFO - Processing item 10...
2025-04-15 13:33:41 - INFO - Processing item 11...
2025-04-15 13:33:41 - INFO - Processing item 12...
2025-04-15 13:33:41 - INFO - Processing item 13...
2025-04-15 13:33:41 - INFO - Processing item 14...
2025-04-15 13:33:41 - INFO - Processing item 15...
2025-04-15 13:33:41 - INFO - Processing item 16...
2025-04-15 13:33:41 - INFO - Processing item 17...
2025-04-15 13:33:41 - INFO - Processing item 18...
2025-04-15 13:33:41 - INFO - Processing item 19...
2025-04-15 13:33:41 - INFO - Processing item 20...
2025-04-15 13:33:41 - INFO - Processing item 21...
2025-04-15 13:33:41 - INFO - Processing item 22...
2025-04-15 13:33:41 - INFO - Processing item 23...
2025-04-15 13:33:41 - INFO - Processing item 24...
2025-04-15 13:33:41 - INFO - Processing item 25...
2025-04-15 13:33:41 - INFO - Processing item 26...
2025-04-15 13:33:41 - INFO - Processing item 27...
2025-04-15 13:33:41 - INFO - Processing item 28...
2025-04-15 13:33:41 - INFO - Processing item 29...
2025-04-15 13:33:41 - INFO - Processing item 30...
2025-04-15 13:33:41 - INFO - Processing item 31...
2025-04-15 13:33:41 - INFO - Processing item 32...
2025-04-15 13:33:41 - INFO - Processing item 33...
2025-04-15 13:33:41 - INFO - Processing item 34...
2025-04-15 13:33:41 - INFO - Processing item 35...
2025-04-15 13:33:41 - INFO - Processing item 36...
2025-04-15 13:33:41 - INFO - Processing item 37...
2025-04-15 13:33:41 - INFO - Processing item 38...
2025-04-15 13:33:41 - INFO - Processing item 39...
2025-04-15 13:33:41 - INFO - Processing item 40...
2025-04-15 13:33:41 - INFO - Processing item 41...
2025-04-15 13:33:41 - INFO - Processing item 42...
2025-04-15 13:33:41 - INFO - Processing item 43...
2025-04-15 13:33:41 - INFO - Processing item 44...
2025-04-15 13:33:41 - INFO - Processing item 45...
2025-04-15 13:33:41 - INFO - Processing item 46...
2025-04-15 13:33:41 - INFO - Processing item 47...
2025-04-15 13:33:41 - INFO - Processing item 48...
2025-04-15 13:33:41 - INFO - Processing item 49...
2025-04-15 13:33:41 - INFO - Processing item 50...
2025-04-15 13:33:41 - INFO - Processing item 51...
2025-04-15 13:33:41 - INFO - Processing item 52...
2025-04-15 13:33:41 - INFO - Processing item 53...
2025-04-15 13:33:41 - INFO - Processing item 54...
2025-04-15 13:33:41 - INFO - Processing item 55...
2025-04-15 13:33:41 - INFO - Processing item 56...
2025-04-15 13:33:41 - INFO - Processing item 57...
2025-04-15 13:33:41 - INFO - Processing item 58...
2025-04-15 13:33:41 - INFO - Processing item 59...
2025-04-15 13:33:41 - INFO - Processing item 60...
2025-04-15 13:33:41 - INFO - Processing item 61...
2025-04-15 13:33:41 - INFO - Processing item 62...
2025-04-15 13:33:41 - INFO - Processing item 63...
2025-04-15 13:33:41 - INFO - Processing item 64...
2025-04-15 13:33:41 - INFO - Processing item 65...
2025-04-15 13:33:41 - INFO - Processing item 66...
2025-04-15 13:33:41 - INFO - Processing item 67...
2025-04-15 13:33:41 - INFO - Processing item 68...
2025-04-15 13:33:41 - INFO - Processing item 69...
2025-04-15 13:33:41 - INFO - Processing item 70...
2025-04-15 13:33:41 - INFO - Processing item 71...
2025-04-15 13:33:41 - INFO - Processing item 72...
2025-04-15 13:33:41 - INFO - Processing item 73...
2025-04-15 13:33:41 - INFO - Processing item 74...
2025-04-15 13:33:41 - INFO - Processing item 75...
2025-04-15 13:33:41 - INFO - Processing item 76...
2025-04-15 13:33:41 - INFO - Processing item 77...
2025-04-15 13:33:41 - INFO - Processing item 78...
2025-04-15 13:33:41 - INFO - Processing item 79...
2025-04-15 13:33:41 - INFO - Processing item 80...
2025-04-15 13:33:41 - INFO - Processing item 81...
2025-04-15 13:33:41 - INFO - Processing item 82...
2025-04-15 13:33:41 - INFO - Processing item 83...
